Name;Formula;Family;Molar mass;Head Family;Head;Cyclic Head (Y/N);Sugar number in head;Carbon number;Saturated;Total  Number of Ramified Carbons;Multichain;JunTyp;Jun Direction;CMC (mM);Surface tension (CMC);Amin;Efficiency C20;Nagg
N-Octadecyl-D-Maltobionamide;C30H59NO11;Alkylglyconamides;609,79;Maltose;Acide maltobionique;YN;2;18;Y;0;N;Amide;1;;;;;
N-Octyl-D-Maltobionamide;C20H39NO11;Alkylglyconamides;469,52;Maltose;Acide maltobionique;YN;2;8;Y;0;N;Amide;1;5,7;31,8;39,0;0,8;
N-Octyl-D-Galacturonamide;C14H27NO6;Alkyluronamides;305,37;Galactose;Acide galacturonique;Y;1;8;Y;0;N;Amide;1;4,0;20,5;33,8;;
N-Octyl-D-Glucuronamide;C14H27NO6;Alkyluronamides;305,37;Glucose;Acide glucuronique;Y;1;8;Y;0;N;Amide;1;3,3;24,4;25,0;;
N-Tetradecyl-D-Gluconamide;C20H41NO6;Alkylglyconamides;391,54;Glucose;Acide gluconique;N;1;14;Y;0;N;Amide;1;;;;;
N-Tetradecyl-D-Galacturonamide;C20H39NO6;Alkyluronamides;389,53;Galactose;Acide galacturonique;Y;1;14;Y;0;N;Amide;1;0,06;32,5;38,1;;
N-Tetradecyl-D-Glucuronamide;C20H39NO6;Alkyluronamides;389,53;Glucose;Acide glucuronique;Y;1;14;Y;0;N;Amide;1;0,5;24,0;21,1;;
alpha-D-Glucosyl Dodecane;C18H36O5;Alkyl-C-glycosides;332,48;Glucose;Glucose;Y;1;12;Y;0;N;C-glycoside;0;0,6;26;36,8;;
alpha-D-Glucosyl Hexane;C12H24O5;Alkyl-C-glycosides;248,32;Glucose;Glucose;Y;1;6;Y;0;N;C-glycoside;0;;26;37,3;;
alpha-D-Glucosyl Octane;C14H28O5;Alkyl-C-glycosides;276,37;Glucose;Glucose;Y;1;8;Y;0;N;C-glycoside;0;7,9;26;39,8;;
p-(beta-D-Glucosyl) butylbenzene;C16H24O5;Alkyl-C-glycosides;296,36;Glucose;Glucose;Y;1;10;Y;0;N;C-glycoside;0;50,0;33,5;44,0;;
p-(beta-D-Glucosyl)ethylbenzene;C14H20O5;Alkyl-C-glycosides;268,31;Glucose;Glucose;Y;1;8;Y;0;N;C-glycoside;0;500;40,0;46,0;;
p-(beta-D-Glucosyl) propylbenzene;C15H22O5;Alkyl-C-glycosides;282,33;Glucose;Glucose;Y;1;9;Y;0;N;C-glycoside;0;130;35,5;45,4;;
p-(beta-D-Glucosyl) Toluene;C13H18O5;Alkyl-C-glycosides;254,28;Glucose;Glucose;Y;1;7;Y;0;N;C-glycoside;0;;41,5;45,5;;
p-(beta-D-Xylosyl) butylbenzene;C9H18O4;Alkyl-C-glycosides;190,24;Xylose;Xylose;Y;1;10;Y;0;N;C-glycoside;0;11;29;36,0;;
p-Glyceryl ethylbenzene;C11H16O3;Alkyl-C-glycosides;196,24;Glycerol;Glycerol;N;1;8;Y;0;N;C-glycoside;0;;30;32,5;;
1-O-Butyl-D,L-Xylitol;C9H20O5;Itols;208,25;Xylose;Xylitol;N;1;4;Y;0;N;Ether;0;;;;;
1-O-Decanoyl-D,L-Erythritol;C14H28O5;Itols;276,37;Erythrose;Erythritol;N;1;9;Y;0;N;Ester;2;1,6;28,1;37,0;;
1-O-Decanoyl-D,L-Glycerol;C13H26O4;Itols;246,34;Glycerol;Glycerol;N;1;9;Y;0;N;Ester;2;0,99;24,2;32,0;;
1-O-Decanoyl-D,L-Xylitol;C15H30O6;Itols;306,4;Xylose;Xylitol;N;1;9;Y;0;N;Ester;2;1,8;26,0;45,0;0,1;
1-O-Decanoyl-D,L-Xylitol;C15H30O6;Itols;306,4;Xylose;Xylitol;N;1;9;Y;0;N;Ester;2;1,5;25,5;30,0;;
1-O-Decyl-D,L-Xylitol;C15H32O5;Itols;292,41;Xylose;Xylitol;N;1;10;Y;0;N;Ether;0;0,81;;36,0;0,1;
1/5-O-Dodecanoyl-D-Arabinitol;C17H34O6;Itols;334,45;Arabinose/Lyxose;Arabinitol (Lyxitol);N;1;11;Y;0;N;Ester;2;0,13;29,3;32,0;;
1-O-Dodecanoyl-D,L-Erythritol;C16H32O5;Itols;304,42;Erythrose;Erythritol;N;1;11;Y;0;N;Ester;2;0,044;32,4;33,0;;
1-O-Dodecanoyl-D,L-Glycerol;C15H30O4;Polyols;274,4;Glycerol;glycerol;N;1;11;Y;0;N;Ester;2;0,044;36,2;35,0;;
1-O-Dodecanoyl-D,L-Ribitol;C17H34O6;Itols;334,45;Ribose;Ribitol;N;1;11;Y;0;N;Ester;2;0,11;30,9;35,0;;
1/6-O-Dodecanoyl-D-Sorbitol;C18H36O7;Itols;364,47;Glucose/Gulose;Glucitol (Sorbitol);N;1;11;Y;0;N;Ester;2;0,077;36,5;32,0;;
1-O-Dodecanoyl-D,L-Xylitol;C17H34O6;Itols;334,45;Xylose;Xylitol;N;1;11;Y;0;N;Ester;2;;;;;
1-O-Dodecanoyl-D,L-Xylitol;C17H34O6;Itols;334,45;Xylose;Xylitol;N;1;11;Y;0;N;Ester;2;0,14;26,5;34,0;;
1-O-Dodecyl-D,L-Xylitol;C17H36O5;Itols;320,46;Xylose;Xylitol;N;1;12;Y;0;N;Ether;0;;;;;
1-O-Heptanoyl-D,L-Xylitol;C12H24O6;Itols;264,32;Xylose;Xylitol;N;1;6;Y;0;N;Ester;2;10;30,0;48,0;0,6;
1-O-Heptyl-D,L-Xylitol;C12H26O5;Itols;250,33;Xylose;Xylitol;N;1;7;Y;0;N;Ether;0;9,2;;36,0;1,3;
1-O-Hexadecanoyl-D,L-Xylitol;C21H42O6;Itols;390,55;Xylose;Xylitol;N;1;15;Y;0;N;Ester;2;;;;;
1-O-Hexanoyl-D,L-Xylitol;C11H22O6;Itols;250,29;Xylose;Xylitol;N;1;5;Y;0;N;Ester;2;58;33,2;52,0;7,9;
1-O-Hexyl-D,L-Xylitol;C11H24O5;Itols;236,31;Xylose;Xylitol;N;1;6;Y;0;N;Ester;2;;;;;
1-O-Nonanoyl-D,L-Xylitol;C14H18O6;Itols;292,37;Xylose;Xylitol;N;1;8;Y;0;N;Ester;2;4,4;25,4;37,0;0,5; 
1-O-Nonyl-D,L-Xylitol;C14H30O5;Itols;278,39;Xylose;Xylitol;N;1;9;Y;0;N;Ether;0;2,1;;29,0;0,4;
1-O-Octadecanoyl-D,L-Xylitol;C23H46O6;Itols;418,61;Xylose;Xylitol;N;1;17;Y;0;N;Ester;2;;;;;
1-O-Octadecyl-D,L-Xylitol;C23H48O5;Itols;404,62;Xylose;Xylitol;N;1;18;Y;0;N;Ether;0;;;;;
1-O-Octanoyl-D,L-Erythritol;C12H24O5;Itols;248,32;Erythrose;Erythritol;N;1;7;Y;0;N;Ester;2;19;26,1;34,0;;
1-O-Octanoyl-D,L-Glycerol;C11H22O4;Polyols;218,29;Glycerol;Glycerol;N;1;7;Y;0;N;Ester;2;14;24,7;39,0;;
1-O-Octanoyl-D,L-Xylitol;C13H26O6;Itols;278,34;Xylose;Xylitol;N;1;7;Y;0;N;Ester;2;18;28,6;52,0;1,6;
1-O-Octanoyl-D,L-Xylitol;C13H26O6;Itols;278,34;Xylose;Xylitol;N;1;7;Y;0;N;Ester;2;24;26,4;48,0;;
1-O-Octyl-D,L-Xylitol;C13H28O5;Itols;264,36;Xylose;Xylitol;N;1;8;Y;0;N;Ether;0;6,7;;49,0;0,4;
1-O-Pentanoyl-D,L-Xylitol;C10H20O6;Itols;236,26;Xylose;Xylitol;N;1;4;Y;0;N;Ester;2;120;30,0;44,0;12,6;
1-O-Pentyl-D,L-Xylitol;C10H22O5;Itols;222,28;Xylose;Xylitol;N;1;5;Y;0;N;Ether;0;;;;;
1-O-Tetradecanoyl-D,L-Erythritol;C18H36O5;Itols;332,48;Erythrose;Erythritol;N;1;13;Y;0;N;Ester;2;0,011;40,9;30,0;;
1-O-Tetradecanoyl-D,L-Glycerol;C17H34O4;Polyols;302,45;Glycerol;Glycerol;N;1;13;Y;0;N;Ester;2;0,0058;48;30,0;;
1-O-Tetradecanoyl-D,L-Xylitol;C19H38O6;Itols;362,5;Xylose;Xylitol;N;1;13;Y;0;N;Ester;2;;;;;
1-O-Tetradecanoyl-D,L-Xylitol;C19H38O6;Itols;362,5;Xylose;Xylitol;N;1;13;Y;0;N;Ester;2;0,015;25,2;30,0;;
1-O-Tetradecyl-D,L-Xylitol;C19H40O5;Itols;348,52;Xylose;Xylitol;N;1;14;Y;0;N;Ether;0;;;;;
1-O-Undecanoyl-D,L-Xylitol;C16H32O6;Itols;320,42;Xylose;Xylitol;N;1;10;Y;0;N;Ester;2;;;;;
1-O-Undecyl-D,L-Xylitol;C16H34O5;Itols;306,44;Xylose;Xylitol;N;1;11;Y;0;N;Ether;0;0,3;;38,0;0,03;
1-S-Butyl-1-Thio-D,L-Xylitol;C9H20O4S;Itols;224,32;Xylose;Xylitol;N;1;4;Y;0;N;Thioether;0;180;;58,0;15,8;
5-S-Decyl-5-Thio-D-Arabinitol;C15H32O4S;Itols;308,48;Arabinose/Lyxose;Arabinitol;N;1;10;Y;0;N;Thioether;0;;33,50;;;
